layer,feature_source,layer_has_graph_features,skipped,skipped_reason,n_graph_features,n_features_used,experiment_type
10,graph,True,False,,5,5,ablation
11,graph,True,False,,4,4,ablation
12,graph,True,False,,3,3,ablation
13,graph,True,False,,3,3,ablation
14,graph,True,False,,2,2,ablation
15,graph,True,False,,3,3,ablation
16,graph,True,False,,5,5,ablation
17,graph,True,False,,5,5,ablation
18,graph,True,False,,4,4,ablation
19,graph,True,False,,5,5,ablation
20,graph,True,False,,5,5,ablation
21,graph,True,False,,5,5,ablation
22,graph,True,False,,5,5,ablation
23,graph,True,False,,5,5,ablation
24,graph,True,False,,5,5,ablation
25,graph,True,False,,5,5,ablation
10,graph,True,False,,5,5,patching
11,graph,True,False,,4,4,patching
12,graph,True,False,,3,3,patching
13,graph,True,False,,3,3,patching
14,graph,True,False,,2,2,patching
15,graph,True,False,,3,3,patching
16,graph,True,False,,5,5,patching
17,graph,True,False,,5,5,patching
18,graph,True,False,,4,4,patching
19,graph,True,False,,5,5,patching
20,graph,True,False,,5,5,patching
21,graph,True,False,,5,5,patching
22,graph,True,False,,5,5,patching
23,graph,True,False,,5,5,patching
24,graph,True,False,,5,5,patching
25,graph,True,False,,5,5,patching
10,graph,True,False,,5,5,steering
11,graph,True,False,,4,4,steering
12,graph,True,False,,3,3,steering
13,graph,True,False,,3,3,steering
14,graph,True,False,,2,2,steering
15,graph,True,False,,3,3,steering
16,graph,True,False,,5,5,steering
17,graph,True,False,,5,5,steering
18,graph,True,False,,4,4,steering
19,graph,True,False,,5,5,steering
20,graph,True,False,,5,5,steering
21,graph,True,False,,5,5,steering
22,graph,True,False,,5,5,steering
23,graph,True,False,,5,5,steering
24,graph,True,False,,5,5,steering
25,graph,True,False,,5,5,steering
